# Rime user dictionary
#@/db_name	moran
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	2765
#@/user_id	rime-huan
mz;du tm;dt jw;lk 	沒添加	c=1 d=1 t=2494
mz;du ui;aa 	沒事	c=1 d=1 t=883
mz;du wf;mk ti;uy 	沒問題	c=5 d=2.93347 t=2383
mz;du yb;ou 	沒有	c=9 d=1.69143 t=2617
mz;du ys;kf 	沒用	c=1 d=1 t=1850
mz;rm ge;rg 	每個	c=4 d=2.41129 t=2290
mz;rm tm;ad 	每天	c=0 d=0.1 t=2476
mz;rm tm;ad jw;bu 	每天家	c=-2 d=1.87912 t=2493
na;ef 	那	c=4 d=1.72874 t=2744
na;el ge;rg 	那個	c=1 d=1 t=595
na;el ni;re 	那你	c=1 d=1 t=2002
na;el ui;op 	那是	c=1 d=1 t=1199
na;el wo;pd 	那我	c=1 d=1 t=970
na;kn 	哪	c=13 d=1.32283 t=1891
na;kn li;wy 	哪裏	c=1 d=1 t=1422
na;uh dk;dv 	拿到	c=1 d=1 t=2222
ne;kn 	呢	c=2 d=1.00227 t=2374
nf;ni ig;ti 	嫩城	c=0 d=0.1 t=2669
ng;sb 	能	c=17 d=3.94117 t=2709
ng;sb fa;du 	能發	c=1 d=1 t=1780
ng;sb li;gp 	能力	c=3 d=1.77499 t=2524
ng;sb pk;zb 	能跑	c=1 d=1 t=400
ng;sb vk;fg yi;aa xw;ab 	能找一下	c=1 d=1 t=1524
ng;sb ys;kf 	能用	c=8 d=1.58562 t=2727
ni;re 	你	c=21 d=4.43562 t=2758
ni;re ba;fb 	你把	c=1 d=1 t=2384
ni;re dc;yv 	你調	c=1 d=1 t=2219
ni;re kj;ou kj;ou 	你看看	c=1 d=1 t=1844
ni;re mf;rm 	你們	c=1 d=1 t=1405
ni;re tc;fv 	你挑	c=0 d=0.1 t=2061
ni;re tc;fv yi;aa ge;rg 	你挑一個	c=1 d=1 t=2062
ni;re uh;aa ir;rv 	你上傳	c=1 d=1 t=2413
